vispub_doi,vispub_title,aminer_id,aminer_title,score
10.1109/mcg.2025.3538257,Reflections on the Use of Dashboards in the COVID-19 Pandemic,610d123591e011bce7a02c66,reflection of the covid-19 pandemic in mass media.,75
10.1109/mcg.2025.3609294,Toward Softerware: Enabling Personalization of Interactive Data Representations for Users With Disabilities,67be84b2163c01c8500581b4,towards softerware: enabling personalization of interactive data representations for users with disabilities,100
10.1109/mcg.2025.3598204,MuCHEx: A Multimodal Conversational Debugging Tool for Interactive Visual Exploration of Hierarchical Object Classification,5735f3790cf2246f9d17ce5c,evaluation of strategies for integrated classification of visual-manual and cognitive distractions in driving.,65
10.1109/mcg.2026.3671005,Mastery Learning Improves Performance on Complex Tasks on PCP Literacy Test,53e99c99b7602d970254ed98,employing learning to improve the performance of meta-raps,66
10.1109/mcg.2024.3495932,How FAIR is VIS?,539087ae20f70186a0d4cb60,how fair is fair queuing,67
10.1109/mcg.2026.3675766,From Prediction to Insight: Visual Analytics for Understanding Compound Potency Models,61f0028691e01166c0b3b1e3,visual understanding of covid-19 knowledge graph for predictive analysis,69
10.1109/mcg.2025.3605029,How Visually Literate Are Large Language Models? Reflections on Recent Advances and Future Directions,61d3bae45244ab9dcba3544b,"robust natural language processing: recent advances, challenges, and future directions",69
10.1109/mcg.2026.3667291,Ambient Analytics: Calm Technology for Immersive Visualization and Sensemaking,5cd1572ae1cd8e89355388f8,an immersive system for 3d floods visualization and analysis,72
10.1109/mcg.2025.3547944,Toward Collective Storytelling: Investigating Audience Annotations in Data Visualizations,53e9ab82b7602d970352b411,investigating heterogeneous protein annotations toward cross-corpora utilization,68
10.1109/mcg.2025.3533806,Visual Analytics for Explainable and Trustworthy Artificial Intelligence,61c9c5b65244ab9dcbc6ac97,a survey of visual analytics for explainable artificial intelligence methods,84
10.1109/mcg.2025.3540264,"Trame: Platform Ubiquitous, Scalable Integration Framework for Visual Analytics",5a9cb5f017c44a376ffb261a,visual analysis framework for two-person interaction.,71
10.1109/mcg.2025.3537316,Mixed Reality Collaboration: How Expert Representations Shape User Experiences,5390b78a20f70186a0f2437c,how does representation modality affect user-experience of data artifacts?,65
10.1109/tvcg.2024.3421555,Trajectory Vorticity - Computation and Visualization of Rotational Trajectory Behavior in an Objective Way,57a4e91dac44365e35c9843d,online trajectory segmentation and summary with applications to visualization and retrieval,64
10.1109/mcg.2025.3559769,From Exploration to Critique: Catalyzing Critical Inquiry With Cultural Collection Visualizations,53e9b259b7602d9703cfeb55,analysis of large digital collections with interactive visualization,63
10.1109/mcg.2025.3598262,AnchorTextVis: A Visual Analytics Approach for Fast Comparison of Text Embeddings,5bbacb8817c44aecc4eaeeae,a comparison of emotion annotation approaches for text,69
10.1109/mcg.2025.3565890,“Paths in Education”: A Case Study on Integrating Statistical Data and Qualitative Narratives Using Data Visualization,5390b2d720f70186a0eecc61,"using statistics, visualization and data mining for monitoring the quality of meta-data in web portals",68
10.1109/mcg.2025.3559374,Automating the Path: An R&D Agenda for Human-Centered AI and Visualization,63f4367490e50fcafd6c7a4c,autodoviz: human-centered automation for decision optimization,67
10.1109/mcg.2025.3646315,Quantum Computing and Visualization Research Challenges and Opportunities,5390a5b020f70186a0e7cb09,search engine result visualisation: challenges and opportunities,79
10.1109/mcg.2025.3553396,Bridging Theory and Practice: A Multiphase Study of GenAI-Assisted Visualization Learning,57d06406ac44367354299317,a grounded theory study on the language of data visualization principles and guidelines.,69
10.1109/tvcg.2026.3713630,Multiresolution Density-Equalizing Transformation for Scatterplots,5e8d928c9fced0a24b612a8d,a solution for multi-alignment by transformation synchronisation.,68
10.1109/mcg.2025.3642747,Experiencing Data Visualization With Language Disability,60966939e4510cd7c80458e7,inclusive data visualization for people with disabilities,74
10.1109/mcg.2025.3553412,What Data Do and Do Not Represent: Visualizing the Archive of Slavery,53e9be09b7602d9704abfdd5,a metadata approach to represent and visualize sites on the web.,67
10.1109/tvcg.2026.3717858,DVD: Scaffolding Non-experts' Ideation of Data Videos through Co-creation with AI,64c78b9f3fda6d7f06db96d9,creating design resources to scaffold the ideation of ai concepts.,62
10.1109/mcg.2025.3567695,Li Ethnic Group's Anthropomorphic Motifs: Art and Applications,53e9a479b7602d9702d96fd2,a dexterous anthropomorphic hand for robotic and prosthetic applications.,69
10.1109/tvcg.2026.3701110,DARE: An Explainable AI-Visualization Framework for Ill-Defined Decision Making,5dd7b27a3a55ac97f69b33c4,visage – a visualization and exploration framework for environmental data,72
10.1109/mcg.2025.3591817,An Age-Based Study Into Interactive Narrative Visualization Engagement,656da6ed939a5f4082deb600,grim: graph-based interactive narrative visualization for games,71
